Industry Name,Industry Slug
"HR Tech","hr-tech"
"CPG (Consumer packaged goods)","cpg-consumer-packaged-goods"
"Health Tech","health-tech"
"SaaS","saas"
"Consumer","consumer"
"Fashion","fashion"
"Developer Tools","developer-tools"
"Retail","retail"
"Gaming","gaming"
"Real Estate","real-estate"
"Logistics","logistics"
"Entertainment / Media","entertainment--media"
"Social Impact","social-impact"
"FinTech","fintech"
"App","app"
"Sustainability","sustainability"
"Content","content"
"Education","education"
"Data & Analytics","data--analytics"
"Credit & Lending","credit--lending"
"Aviation","aviation"
"Marketplace","marketplace"
"AI/Machine Learning","aimachine-learning"
"Telecommunications","telecommunications"
"AgTech","agtech"
"Ecommerce","ecommerce"
"Subscription","subscription"
"Supply Chain","supply-chain"
"Mobility","mobility"
"Productivity","productivity"
"BioTech & Life Sciences","biotech--life-sciences"
"PropTech","proptech"
"Impact","impact"
"Social Media","social-media"
"B2B Marketplaces","b2b-marketplaces"
"Crypto","crypto"
"Healthcare","healthcare"
"CloudTech","cloudtech"
"DevOps","devops"
"Direct to Consumer","direct-to-consumer"
"Remote","remote"
"Sports","sports"
"Climate Tech","climate-tech"
"Energy","energy"
"Wellness","wellness"
"Crowdfunding","crowdfunding"
"Debt","debt"
"Other","other"
"Travel & Tourism","travel--tourism"
"Agnostic (all)","agnostic-all"
"AdTech","adtech"
"Beauty","beauty"
"Commerce","commerce"
"Food","food"
"Blockchain","blockchain"
"Web 3","web-3"
"Cybersecurity","cybersecurity"
"Payments","payments"
"SME Solution","sme-solution"
"Robotics","robotics"
"CRM","crm"
"Automotive","automotive"
"Creative Industry","creative-industry"
"Creator Economy","creator-economy"
"CleanTech","cleantech"
"Infrastructure","infrastructure"
"FemTech (women's health)","femtech-womens-health"
"Crowdsourcing","crowdsourcing"
"Artificial Intelligence / Machine Learning","artificial-intelligence--machine-learning"
"Work","work"
"Network Effects","network-effects"
"Pet Tech","pet-tech"
"Legal","legal"
"InsurTech","insurtech"
"Construction","construction"
"Industrials","industrials"
"Accounting","accounting"
"Banking & Exchange","banking--exchange"
"CivicTech","civictech"
"Talent Management","talent-management"
"Hardware","hardware"
"VR/AR","vrar"
"Deep Tech","deep-tech"
"Augmented Reality / Virtual Reality","augmented-reality--virtual-reality"
"Mobile","mobile"
"AudioTech","audiotech"
"Analytics","analytics"
"Manufacturing","manufacturing"
"Big Data","big-data"
"Government","government"
"Utilities (energy, water, waste)","utilities-energy-water-waste"
"IoT","iot"
"Housing","housing"
"Enterprise","enterprise"
"Hospitality","hospitality"
"Gig Economy","gig-economy"
"Leisure & Entretainment","leisure--entretainment"
"Space Tech","space-tech"
"No Code","no-code"
"Smart Cities","smart-cities"
"GovTech","govtech"
"Ticketing","ticketing"
"Investing","investing"
"Female Founders","female-founders"
"3D Printing","3d-printing"
"Gambling","gambling"
